   PID         User            VIRT       RES      CPU%    MEM%      Time          Command       
  1465       colord            242.4      12.9     0.0     0.2    0:0.07 /usr/libexec/colord
  1477       alisa             705.6      31.9     0.0     0.4    0:0.34 /usr/libexec/tracker-miner-fs-3
  1518       alisa            2541.6      27.3     0.0     0.3    0:0.04    /usr/bin/gjs    
  1529       alisa             339.9      26.1     0.0     0.3    0:0.11 /usr/libexec/xdg-desktop-portal-gtk
  1544       alisa            2733.9      59.9     0.0     0.8    0:0.35         gjs        
  1578       alisa             162.1       6.4     0.0     0.1     0:0.0 /usr/libexec/gvfsd-metadata
  1606       alisa         1150954.1     158.3     0.0     2.0    0:1.64 /usr/share/code/code
  1611       alisa           32988.4      45.4     0.0     0.6     0:0.0 /usr/share/code/code
  1612       alisa           32988.4      45.9     0.0     0.6    0:0.01 /usr/share/code/code
  1614       alisa           32988.4      11.0     0.0     0.1     0:0.0 /usr/share/code/code
  1628       alisa           32789.0       3.2     0.0     0.0     0:0.0 /usr/share/code/chrome_crashpad_handler
  1631       alisa             222.4      82.4     0.0     1.0    0:0.12  /usr/bin/Xwayland 
  1634       alisa             520.0      80.0     0.0     1.0    0:0.14 /usr/libexec/gsd-xsettings
  1659       alisa             192.8      24.9     0.0     0.3    0:0.06 /usr/libexec/ibus-x11
  1676       alisa           33251.7     117.9     0.0     1.5    0:0.71 /usr/share/code/code
  1685       alisa           33037.5      64.2     0.0     0.8     0:0.1 /usr/share/code/code
  1709       alisa         1163132.2     332.1     0.0     4.2    0:6.26 /usr/share/code/code
  1737       alisa         1150821.7      88.9     0.0     1.1    0:0.48 /usr/share/code/code
  1747       alisa         1150796.2     164.9     0.0     2.1    0:2.13 /usr/share/code/code
  1757       alisa         1150789.1     123.1     0.0     1.6    0:2.16 /usr/share/code/code
  1758       alisa         1150805.7      84.6     0.0     1.1     0:0.7 /usr/share/code/code
  1828       alisa              13.9       5.4     0.0     0.1    0:0.02    /usr/bin/bash   
  1868       alisa              13.9       5.4     0.0     0.1    0:0.01    /usr/bin/bash   
  1945       alisa              13.8       5.2     0.0     0.1     0:0.0    /usr/bin/bash   
  1952       alisa         1152774.5     205.3     0.0     2.6     0:4.5 /usr/share/code/code
  2043       alisa             340.0      25.8     0.0     0.3     0:0.1   update-notifier  
  2070       alisa              13.9       5.4     0.0     0.1    0:0.02    /usr/bin/bash   
  2112       alisa              24.8      12.6     0.0     0.2    0:0.05 /home/alisa/lesson10/.lesson10venv/bin/python
  2118       alisa               2.8       1.5     0.0     0.0     0:0.0       /bin/sh      
  2119       alisa              12.5       3.4     0.0     0.0     0:0.0      /bin/bash     
  2123       alisa              10.9       1.9     0.0     0.0     0:0.0        sleep       
